l1_filters,l2_filters,l3_filters,batch_size,learn_rate,size,score,cost_s
256.0,32.0,32.0,152.0,1.2e-05,0.96004,0.7089999914169312,744.9449007511139
16.0,128.0,64.0,419.0,0.031974,0.831874,0.6775000095367432,504.21801495552063
128.0,32.0,256.0,504.0,0.047394,0.572656,0.6403999924659729,503.781907081604
32.0,16.0,16.0,40.0,4e-06,0.073502,0.4569999873638153,73.40720558166504
256.0,32.0,64.0,442.0,0.000142,0.685965,0.6808000206947327,563.8685672283173
64.0,256.0,128.0,400.0,1.3e-05,0.777513,0.7242000102996826,864.8075535297394
64.0,128.0,32.0,308.0,4e-06,0.286081,0.6168000102043152,263.29449820518494
128.0,32.0,32.0,98.0,0.000426,0.575278,0.6245999932289124,323.727787733078
128.0,512.0,256.0,81.0,0.000991,0.795569,0.7006999850273132,2184.3561367988586
32.0,256.0,64.0,226.0,6e-06,0.955841,0.7008000016212463,804.5879456996918
256.0,64.0,32.0,467.0,0.032018,0.971567,0.7139000296592712,864.2466888427734
16.0,128.0,64.0,452.0,1e-06,0.610254,0.6367999911308289,383.74503898620605
512.0,128.0,32.0,426.0,0.061331,0.678507,0.7031000256538391,1163.826119184494
32.0,32.0,64.0,373.0,2.8e-05,0.750937,0.6841999888420105,384.32214093208313
32.0,16.0,64.0,113.0,0.052759,0.371445,0.6029999852180481,204.80514883995056
16.0,64.0,32.0,140.0,0.001575,0.280897,0.5863999724388123,166.58506894111633
512.0,128.0,16.0,380.0,6.2e-05,0.437204,0.6431000232696533,803.6388750076294
256.0,256.0,64.0,133.0,2e-06,0.942732,0.7343999743461609,1464.299554347992
16.0,256.0,256.0,74.0,1.7e-05,0.225115,0.542900025844574,383.51323199272156
128.0,32.0,32.0,134.0,0.000938,0.308311,0.6182000041007996,205.15395045280457
64.0,256.0,256.0,205.0,6e-06,0.156811,0.558899998664856,301.6448664665222
32.0,128.0,512.0,507.0,2e-06,0.503522,0.65829998254776,705.2985529899597
256.0,32.0,64.0,296.0,0.003059,0.594847,0.6608999967575073,504.1621148586273
128.0,16.0,256.0,457.0,4.1e-05,0.936835,0.6252999901771545,668.8502087593079
128.0,128.0,64.0,450.0,0.24999,0.530244,0.6589999794960022,464.3894863128662